三	3一	sān
二	2一	èr
亖	2二	sì
仌	2人	bīng
兓	2旡	jīn
兟	2先	shēn
兢	2克	jīng
出	2山	chū
刕	3刀	lí
劦	3力	liè
厵	3原	yuán
厽	3厶	lěi
叒	3又	ruò
叕	4又	yǐ
吅	2口	xuān
吕	2口	lǚ
品	3口	pǐn
哥	2可	gē
嚞	3吉	zhé
囍	2喜	xǐ
圭	2土	guī
垚	3土	yáo
多	2夕	duō
夶	2大	bǐ
奻	2女	nuán
尛	3小	má
屾	2山	shēn
幵	2干	jiān
弜	2弓	jiàng
彡	3丿	sān
从	2人	cóng
拜	2手	bài
昌	2日	chāng
晶	3日	jīng
朋	2月	péng
林	2木	lín
棘	2朿	jí
森	3木	sēn
歮	3止	sè
比	2匕	bǐ
毳	3毛	cuì
沝	2水	zhuǐ
淼	3水	miǎo
灬	4丶	sì
炎	2火	yán
炏	2火	yán
焱	3火	yàn
爻	2乂	yáo
牪	2牛	yàn
犇	3牛	bēn
犾	2犬	yín
玨	2王	ráng
珏	2玉	jué
甡	2生	shēn
畕	2田	jiāng
畾	3田	léi
皕	2百	bì,yì
众	3人	zhòng
瞐	3目	mò
矗	3直	chù
砳	2石	lè,zǐ
磊	3石	lěi
祘	2示	suàn
秝	2禾	lì
竝	2立	wù
竸	2竟	jìng
丝	2丝	sī
羽	2习	yǔ
聑	2耳	tiē
舙	3舌	huà
茻	4屮	mǎng
虤	2虎	yán
譶	3言	quán
豩	2豕	xī
赫	2赤	hè
辡	2辛	biàn
鑫	3金	xīn
雔	2隹	chóu
双	2又	shuāng
雥	3隹	zá
雦	3隹	jí
靐	3雷	bìng
